# i_rad	L_edd
2.879793265790643875e-01 1.046125598410408841e+01
2.888519912050615535e-01 1.050950720341199407e+01
2.897246558310587194e-01 1.055585255591351590e+01
2.905973204570558854e-01 1.060023056203425007e+01
2.914699850830530514e-01 1.064257974219979985e+01
2.923426497090502174e-01 1.068283861683576497e+01
2.932153143350473834e-01 1.072094570636775046e+01
2.940879789610445494e-01 1.075683953122134895e+01
2.949606435870417154e-01 1.079045861182216370e+01
2.958333082130388814e-01 1.082174146859579800e+01
2.967059728390360474e-01 1.085062662196784622e+01
2.975786374650332133e-01 1.087705259236391342e+01
2.984513020910303793e-01 1.090095790020960465e+01
2.993239667170275453e-01 1.092228106593051074e+01
3.001966313430247113e-01 1.094096060995223674e+01
3.010692959690218773e-01 1.095693505270038770e+01
3.019419605950190433e-01 1.097014291460055269e+01
3.028146252210162093e-01 1.098052271607834385e+01
3.036872898470133753e-01 1.098801297755935380e+01
3.045599544730105412e-01 1.099255221946918581e+01
3.054326190990076517e-01 1.099407896223344139e+01
3.063052837250048177e-01 1.099372658444569595e+01
3.071779483510019837e-01 1.099267541052169861e+01
3.080506129769991497e-01 1.099093437962030961e+01
3.089232776029963157e-01 1.098851243090039098e+01
3.097959422289934817e-01 1.098541850352080296e+01
3.106686068549906476e-01 1.098166153664040401e+01
3.115412714809878136e-01 1.097725046941805793e+01
3.124139361069849796e-01 1.097219424101262319e+01
3.132866007329821456e-01 1.096650179058296182e+01
3.141592653589793116e-01 1.096018205728793227e+01
3.150319299849764776e-01 1.095324398028639479e+01
3.159045946109736436e-01 1.094569649873721318e+01
3.167772592369708096e-01 1.093754855179924590e+01
3.176499238629679756e-01 1.092880907863135498e+01
3.185225884889651415e-01 1.091948701839239710e+01
3.193952531149623075e-01 1.090959131024123607e+01
3.202679177409594735e-01 1.089913089333673213e+01
3.211405823669566395e-01 1.088811470683774729e+01
3.220132469929538055e-01 1.087655168990313825e+01
3.228859116189509715e-01 1.086445078169176881e+01
3.237585762449481375e-01 1.085182092136249743e+01
3.246312408709453035e-01 1.083867104807418613e+01
3.255039054969424694e-01 1.082501010098569338e+01
3.263765701229396354e-01 1.081084701925588298e+01
3.272492347489368014e-01 1.079619074204361340e+01
3.281218993749339674e-01 1.078105020850774487e+01
3.289945640009311334e-01 1.076543435780713942e+01
3.298672286269282994e-01 1.074935212910065552e+01
3.307398932529254654e-01 1.073281246154715518e+01
3.316125578789226314e-01 1.071582429430549865e+01
3.324852225049197973e-01 1.069839656653454796e+01
3.333578871309169633e-01 1.068053821739316156e+01
3.342305517569141293e-01 1.066225818604019970e+01
3.351032163829112953e-01 1.064356541163452619e+01
3.359758810089084613e-01 1.062446883333499592e+01
3.368485456349056273e-01 1.060497739030047448e+01
3.377212102609027933e-01 1.058510002168982211e+01
3.385938748868999593e-01 1.056484566666189551e+01
3.394665395128971253e-01 1.054422326437555846e+01
3.403392041388942912e-01 1.052324175398967121e+01
3.412118687648914572e-01 1.050191007466309401e+01
3.420845333908886232e-01 1.048023716555468710e+01
3.429571980168857892e-01 1.045823196582331072e+01
3.438298626428829552e-01 1.043590341462782689e+01
3.447025272688801212e-01 1.041326045112709409e+01
3.455751918948772317e-01 1.039031201447997788e+01
3.464478565208743976e-01 1.036706704384532962e+01
3.473205211468715636e-01 1.034353447838201845e+01
3.481931857728687296e-01 1.031972325724889750e+01
3.490658503988658956e-01 1.029564231960483411e+01
3.499385150248630616e-01 1.027130060460868677e+01
3.508111796508602276e-01 1.024670705141931393e+01
3.516838442768573936e-01 1.022187059919557939e+01
3.525565089028545596e-01 1.019680018709633984e+01
3.534291735288517255e-01 1.017150475428045731e+01
3.543018381548488915e-01 1.014599323990679380e+01
3.551745027808460575e-01 1.012027458313420958e+01
3.560471674068432235e-01 1.009435772312156310e+01
3.569198320328403895e-01 1.006825159902771816e+01
3.577924966588375555e-01 1.004196515001153145e+01
3.586651612848347215e-01 1.001550731523186855e+01
3.595378259108318875e-01 9.988887033847586139e+00
3.604104905368290535e-01 9.962113245017542695e+00
3.612831551628262194e-01 9.935194887900605565e+00
3.621558197888233854e-01 9.908140901655629662e+00
3.630284844148205514e-01 9.880960225441477007e+00
3.639011490408177174e-01 9.853661798417009621e+00
3.647738136668148834e-01 9.826254559741085970e+00
3.656464782928120494e-01 9.798747448572568075e+00
3.665191429188092154e-01 9.771149404070314404e+00
3.673918075448063814e-01 9.743469365393188752e+00
3.682644721708035473e-01 9.715716271700049589e+00
3.691371367968007133e-01 9.687899062149757157e+00
3.700098014227978793e-01 9.660026675901175253e+00
3.708824660487950453e-01 9.632108052113158791e+00
3.717551306747922113e-01 9.604152129944571570e+00
3.726277953007893773e-01 9.576167848554275608e+00
3.735004599267865433e-01 9.548164147101129373e+00
3.743731245527837093e-01 9.520149964743994886e+00
3.752457891787808753e-01 9.492134240641728837e+00
3.761184538047780412e-01 9.464125913953196800e+00
3.769911184307752072e-01 9.436133923837255466e+00
3.778637830567723732e-01 9.408167209452768631e+00
3.787364476827695392e-01 9.380234709958592987e+00
3.796091123087667052e-01 9.352345364513594106e+00
3.804817769347638712e-01 9.324508112276628680e+00
3.813544415607610372e-01 9.296731892406558728e+00
3.822271061867582032e-01 9.269025644062242719e+00
3.830997708127553691e-01 9.241398306402544449e+00
3.839724354387525351e-01 9.213858818586322386e+00
3.848451000647497011e-01 9.186416119772436772e+00
3.857177646907468671e-01 9.159079149119749630e+00
3.865904293167439776e-01 9.131856845787122978e+00
3.874630939427411436e-01 9.104758148933413509e+00
3.883357585687383096e-01 9.077791997717483241e+00
3.892084231947354755e-01 9.050967331298192420e+00
3.900810878207326415e-01 9.024293088834403065e+00
3.909537524467298075e-01 8.997778209484973644e+00
3.918264170727269735e-01 8.971431632408767953e+00
3.926990816987241395e-01 8.945262296764642684e+00
3.935717463247213055e-01 8.918894020357621244e+00
3.944444109507184715e-01 8.891952447585117270e+00
3.953170755767156375e-01 8.864449257494571910e+00
3.961897402027128035e-01 8.836396129133431643e+00
3.970624048287099694e-01 8.807804741549141170e+00
3.979350694547071354e-01 8.778686773789143416e+00
3.988077340807043014e-01 8.749053904900886636e+00
3.996803987067014674e-01 8.718917813931810201e+00
4.005530633326986334e-01 8.688290179929365920e+00
4.014257279586957994e-01 8.657182681940989610e+00
4.022983925846929654e-01 8.625606999014134857e+00
4.031710572106901314e-01 8.593574810196239255e+00
4.040437218366872973e-01 8.561097794534751060e+00
4.049163864626844633e-01 8.528187631077114972e+00
4.057890510886816293e-01 8.494855998870773917e+00
4.066617157146787953e-01 8.461114576963176148e+00
4.075343803406759613e-01 8.426975044401761039e+00
4.084070449666731273e-01 8.392449080233976844e+00
4.092797095926702933e-01 8.357548363507268263e+00
4.101523742186674593e-01 8.322284573269078223e+00
4.110250388446646252e-01 8.286669388566851424e+00
4.118977034706617912e-01 8.250714488448034345e+00
4.127703680966589572e-01 8.214431551960069910e+00
4.136430327226561232e-01 8.177832258150402822e+00
4.145156973486532892e-01 8.140928286066479558e+00
4.153883619746504552e-01 8.103731314755743043e+00
4.162610266006476212e-01 8.066253023265637978e+00
4.171336912266447872e-01 8.028505090643612618e+00
4.180063558526419532e-01 7.990499195937106336e+00
4.188790204786391191e-01 7.952247018193564720e+00
4.197516851046362851e-01 7.913760236460435138e+00
4.206243497306334511e-01 7.875050529785160514e+00
4.214970143566306171e-01 7.836129577215185549e+00
4.223696789826277831e-01 7.797009057797956721e+00
4.232423436086249491e-01 7.757700650580915180e+00
4.241150082346221151e-01 7.718216034611508292e+00
4.249876728606192811e-01 7.678566888937178980e+00
4.258603374866164470e-01 7.638764892605373724e+00
4.267330021126135575e-01 7.598821724663539001e+00
4.276056667386107235e-01 7.558749064159115072e+00
4.284783313646078895e-01 7.518558590139546638e+00
4.293509959906050555e-01 7.478261981652281953e+00
4.302236606166022215e-01 7.437870917744761279e+00
4.310963252425993875e-01 7.397397077464433757e+00
4.319689898685965534e-01 7.356852139858741424e+00
