# i_rad	L_edd
0.000000000000000000e+00 3.367153049826280949e+03
8.726646259971647954e-04 3.340963815453808365e+03
1.745329251994329591e-03 3.314805078999554098e+03
2.617993877991494495e-03 3.288678364339057680e+03
3.490658503988659182e-03 3.262585195347858189e+03
4.363323129985823869e-03 3.236527095901495613e+03
5.235987755982988989e-03 3.210505589875508122e+03
6.108652381980153243e-03 3.184522201145436611e+03
6.981317007977318363e-03 3.158578453586818796e+03
7.853981633974483484e-03 3.132675871075194209e+03
8.726646259971647737e-03 3.106815977486103293e+03
9.599310885968811990e-03 3.081000296695083762e+03
1.047197551196597798e-02 3.055230352577676058e+03
1.134464013796314223e-02 3.029507669009419260e+03
1.221730476396030649e-02 3.003833769865851991e+03
1.308996938995747247e-02 2.978210179022514239e+03
1.396263401595463673e-02 2.952638420354945083e+03
1.483529864195180098e-02 2.927120017738683600e+03
1.570796326794896697e-02 2.901656495049269324e+03
1.658062789394612949e-02 2.876249376162241788e+03
1.745329251994329547e-02 2.850900184953140069e+03
1.832595714594046146e-02 2.825610445297502793e+03
1.919862177193762398e-02 2.800381681070869945e+03
2.007128639793478997e-02 2.775215416148781060e+03
2.094395102393195596e-02 2.750113174406774306e+03
2.181661564992911848e-02 2.725076479720390125e+03
2.268928027592628446e-02 2.700106855965167142e+03
2.356194490192345045e-02 2.675205827016645344e+03
2.443460952792061297e-02 2.650374916750362900e+03
2.530727415391777896e-02 2.625615649041860252e+03
2.617993877991494495e-02 2.600929547766675569e+03
2.705260340591210746e-02 2.576318136800349748e+03
2.792526803190927345e-02 2.551782940018420504e+03
2.879793265790643944e-02 2.527325481296427370e+03
2.967059728390360196e-02 2.502947284509910332e+03
3.054326190990076795e-02 2.478649873534408016e+03
3.141592653589793394e-02 2.454434772245460408e+03
3.228859116189509992e-02 2.430303504518605678e+03
3.316125578789225897e-02 2.406257594229384722e+03
3.403392041388942496e-02 2.382298565253335710e+03
3.490658503988659095e-02 2.358427941465997264e+03
3.577924966588375694e-02 2.334647246742909829e+03
3.665191429188092292e-02 2.310958004959613390e+03
3.752457891787808891e-02 2.287361739991644299e+03
3.839724354387524796e-02 2.263859975714545271e+03
3.926990816987241395e-02 2.240454236003854476e+03
4.014257279586957994e-02 2.217146044735109626e+03
4.101523742186674593e-02 2.193936925783851621e+03
4.188790204786391191e-02 2.170828403025619536e+03
4.276056667386107790e-02 2.147822000335951998e+03
4.363323129985823695e-02 2.124919241590388992e+03
4.450589592585540294e-02 2.101909380521896310e+03
4.537856055185256893e-02 2.078587938532526550e+03
4.625122517784973492e-02 2.054965841001445824e+03
4.712388980384690090e-02 2.031054013307820014e+03
4.799655442984406689e-02 2.006863380830816141e+03
4.886921905584122594e-02 1.982404868949600541e+03
4.974188368183839193e-02 1.957689403043340235e+03
5.061454830783555792e-02 1.932727908491200878e+03
5.148721293383272390e-02 1.907531310672349719e+03
5.235987755982988989e-02 1.882110534965952866e+03
5.323254218582705588e-02 1.856476506751177340e+03
5.410520681182421493e-02 1.830640151407189478e+03
5.497787143782138092e-02 1.804612394313155164e+03
5.585053606381854691e-02 1.778404160848241872e+03
5.672320068981571289e-02 1.752026376391615713e+03
5.759586531581287888e-02 1.725489966322443024e+03
5.846852994181003793e-02 1.698805856019890825e+03
5.934119456780720392e-02 1.671984970863125000e+03
6.021385919380436991e-02 1.645038236231312794e+03
6.108652381980153590e-02 1.617976577503619865e+03
6.195918844579870188e-02 1.590810920059213913e+03
6.283185307179586787e-02 1.563552189277260140e+03
6.370451769779303386e-02 1.536211310536926021e+03
6.457718232379019985e-02 1.508799209217377665e+03
6.544984694978736584e-02 1.481326810697781866e+03
6.632251157578451795e-02 1.453805040357305415e+03
6.719517620178168393e-02 1.426244823575113742e+03
6.806784082777884992e-02 1.398657085730374320e+03
6.894050545377601591e-02 1.371052752202253032e+03
6.981317007977318190e-02 1.343442748369917354e+03
7.068583470577034789e-02 1.315837999612533167e+03
7.155849933176751387e-02 1.288249431309266811e+03
7.243116395776467986e-02 1.260687968839285304e+03
7.330382858376184585e-02 1.233164537581754757e+03
7.417649320975901184e-02 1.205690062915842191e+03
7.504915783575617783e-02 1.178275470220713487e+03
7.592182246175334381e-02 1.150931684875535666e+03
7.679448708775049592e-02 1.123669632259475748e+03
7.766715171374766191e-02 1.096500237751698933e+03
7.853981633974482790e-02 1.069434426731372696e+03
7.941248096574199389e-02 1.042483124577663148e+03
8.028514559173915988e-02 1.015657256669736967e+03
8.115781021773632586e-02 9.889677483867606043e+02
8.203047484373349185e-02 9.624255251079007394e+02
8.290313946973065784e-02 9.360415122123240508e+02
8.377580409572782383e-02 9.098266350791968762e+02
8.464846872172498982e-02 8.837918190876853259e+02
8.552113334772215580e-02 8.579479896169565336e+02
8.639379797371930791e-02 8.323060720461771780e+02
8.726646259971647390e-02 8.068769917545130284e+02
8.813912722571363989e-02 7.816716741211309909e+02
8.901179185171080588e-02 7.567010445251978581e+02
8.988445647770797187e-02 7.319760283458795129e+02
9.075712110370513785e-02 7.075075509623432026e+02
9.162978572970230384e-02 6.833065377537549239e+02
9.250245035569946983e-02 6.593839140992815828e+02
9.337511498169663582e-02 6.357506053780892898e+02
9.424777960769380181e-02 6.124175369693450648e+02
9.512044423369096779e-02 5.893956342522151317e+02
9.599310885968813378e-02 5.666958226058659420e+02
9.686577348568528589e-02 5.443290274094645156e+02
9.773843811168245188e-02 5.223061740421769628e+02
9.861110273767961787e-02 5.006381878831694507e+02
9.948376736367678386e-02 4.793359943116092836e+02
1.003564319896739498e-01 4.584105187066623444e+02
1.012290966156711158e-01 4.378726864474955391e+02
1.021017612416682818e-01 4.177334229132753762e+02
1.029744258676654478e-01 3.980036534831681365e+02
1.038470904936626138e-01 3.786943035363408399e+02
1.047197551196597798e-01 3.598162984519594829e+02
1.055924197456569458e-01 3.413805636091909719e+02
1.064650843716541118e-01 3.233980243872015308e+02
1.073377489976512639e-01 3.058796061651577247e+02
1.082104136236484299e-01 2.888362343222263462e+02
1.090830782496455958e-01 2.722788342375735056e+02
1.099557428756427618e-01 2.562183312903664500e+02
