# i_rad	L_edd
0.000000000000000000e+00 5.154242997854327768e+03
8.726646259971647954e-04 5.154020653397615206e+03
1.745329251994329591e-03 5.153358979968822496e+03
2.617993877991494495e-03 5.152266017479968468e+03
3.490658503988659182e-03 5.150749805843071954e+03
4.363323129985823869e-03 5.148818384970149054e+03
5.235987755982988989e-03 5.146479794773220419e+03
6.108652381980153243e-03 5.143742075164302150e+03
6.981317007977318363e-03 5.140613266055413987e+03
7.853981633974483484e-03 5.137101407358572942e+03
8.726646259971647737e-03 5.133214538985797844e+03
9.599310885968811990e-03 5.128960700849106615e+03
1.047197551196597798e-02 5.124347932860518995e+03
1.134464013796314223e-02 5.119384274932051085e+03
1.221730476396030649e-02 5.114077766975720806e+03
1.308996938995747247e-02 5.108436448903548808e+03
1.396263401595463673e-02 5.102468360627552102e+03
1.483529864195180098e-02 5.096181542059747699e+03
1.570796326794896697e-02 5.089584033112155339e+03
1.658062789394612949e-02 5.082683873696792034e+03
1.745329251994329547e-02 5.075489103725677523e+03
1.832595714594046146e-02 5.068007763110828819e+03
1.919862177193762398e-02 5.060247891764263841e+03
2.007128639793478997e-02 5.052217529598002329e+03
2.094395102393195596e-02 5.043924716524061296e+03
2.181661564992911848e-02 5.035377492454458661e+03
2.268928027592628446e-02 5.026583897301213256e+03
2.356194490192345045e-02 5.017551970976343000e+03
2.443460952792061297e-02 5.008289753391866725e+03
2.530727415391777896e-02 4.998805284459802351e+03
2.617993877991494495e-02 4.989106604092166890e+03
2.705260340591210746e-02 4.979201752200981900e+03
2.792526803190927345e-02 4.969098768698261665e+03
2.879793265790643944e-02 4.958805693496025015e+03
2.967059728390360196e-02 4.948330566506291689e+03
3.054326190990076795e-02 4.937681427641080518e+03
3.141592653589793394e-02 4.926866316812407604e+03
3.228859116189509992e-02 4.915893273932292686e+03
3.316125578789225897e-02 4.904770338912752777e+03
3.403392041388942496e-02 4.893505551665805797e+03
3.490658503988659095e-02 4.882106952103471485e+03
3.577924966588375694e-02 4.870582580137767764e+03
3.665191429188092292e-02 4.858940475680711643e+03
3.752457891787808891e-02 4.847188678644322863e+03
3.839724354387524796e-02 4.835335228940618435e+03
3.926990816987241395e-02 4.823388166481617191e+03
4.014257279586957994e-02 4.811355531179336140e+03
4.101523742186674593e-02 4.799245362945795932e+03
4.188790204786391191e-02 4.787065701693012670e+03
4.276056667386107790e-02 4.774824587333005184e+03
4.363323129985823695e-02 4.762530059777791394e+03
4.450589592585540294e-02 4.749237685994263302e+03
4.537856055185256893e-02 4.734024502255184416e+03
4.625122517784973492e-02 4.716930752431385372e+03
4.712388980384690090e-02 4.697996680393695897e+03
4.799655442984406689e-02 4.677262530012945717e+03
4.886921905584122594e-02 4.654768545159962741e+03
4.974188368183839193e-02 4.630554969705578515e+03
5.061454830783555792e-02 4.604662047520620945e+03
5.148721293383272390e-02 4.577130022475920669e+03
5.235987755982988989e-02 4.547999138442306503e+03
5.323254218582705588e-02 4.517309639290608175e+03
5.410520681182421493e-02 4.485101768891654501e+03
5.497787143782138092e-02 4.451415771116276119e+03
5.585053606381854691e-02 4.416291889835302754e+03
5.672320068981571289e-02 4.379770368919563225e+03
5.759586531581287888e-02 4.341891452239886348e+03
5.846852994181003793e-02 4.302695383667102760e+03
5.934119456780720392e-02 4.262222407072042188e+03
6.021385919380436991e-02 4.220512766325534358e+03
6.108652381980153590e-02 4.177606705298406268e+03
6.195918844579870188e-02 4.133544467861490375e+03
6.283185307179586787e-02 4.088366297885614586e+03
6.370451769779303386e-02 4.042112439241608172e+03
6.457718232379019985e-02 3.994823135800302225e+03
6.544984694978736584e-02 3.946538631432524653e+03
6.632251157578451795e-02 3.897299170009107911e+03
6.719517620178168393e-02 3.847144995400877633e+03
6.806784082777884992e-02 3.796116351478664910e+03
6.894050545377601591e-02 3.744253482113299469e+03
6.981317007977318190e-02 3.691596631175611947e+03
7.068583470577034789e-02 3.638186042536428886e+03
7.155849933176751387e-02 3.584061960066582287e+03
7.243116395776467986e-02 3.529264627636901423e+03
7.330382858376184585e-02 3.473834289118214656e+03
7.417649320975901184e-02 3.417811188381352622e+03
7.504915783575617783e-02 3.361235569297145048e+03
7.592182246175334381e-02 3.304147675736419387e+03
7.679448708775049592e-02 3.246587751570007640e+03
7.766715171374766191e-02 3.188596040668738169e+03
7.853981633974482790e-02 3.130212786903440247e+03
7.941248096574199389e-02 3.071478234144944508e+03
8.028514559173915988e-02 3.012432626264079317e+03
8.115781021773632586e-02 2.953116207131673946e+03
8.203047484373349185e-02 2.893569220618558575e+03
8.290313946973065784e-02 2.833831910595562931e+03
8.377580409572782383e-02 2.773944520933516742e+03
8.464846872172498982e-02 2.713947295503249734e+03
8.552113334772215580e-02 2.653880478175589815e+03
8.639379797371930791e-02 2.593784312821368076e+03
8.726646259971647390e-02 2.533699043311412879e+03
8.813912722571363989e-02 2.473664913516555316e+03
8.901179185171080588e-02 2.413722167307622385e+03
8.988445647770797187e-02 2.353911048555445632e+03
9.075712110370513785e-02 2.294271801130854328e+03
9.162978572970230384e-02 2.234844668904677746e+03
9.250245035569946983e-02 2.175669895747745159e+03
9.337511498169663582e-02 2.116787725530885837e+03
9.424777960769380181e-02 2.058238402124930872e+03
9.512044423369096779e-02 2.000062169400707717e+03
9.599310885968813378e-02 1.942299271229047235e+03
9.686577348568528589e-02 1.884989951480779837e+03
9.773843811168245188e-02 1.828174454026732519e+03
9.861110273767961787e-02 1.771893022737735919e+03
9.948376736367678386e-02 1.716185901484619762e+03
